Integer, Steps, Result
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,11
11,0,11
12,1,33
13,1,44
14,1,55
15,1,66
16,1,77
17,1,88
18,1,99
19,2,121
20,1,22
21,1,33
22,0,22
23,1,55
24,1,66
25,1,77
26,1,88
27,1,99
28,2,121
29,1,121
30,1,33
31,1,44
32,1,55
33,0,33
34,1,77
35,1,88
36,1,99
37,2,121
38,1,121
39,2,363
40,1,44
41,1,55
42,1,66
43,1,77
44,0,44
45,1,99
46,2,121
47,1,121
48,2,363
49,2,484
50,1,55
51,1,66
52,1,77
53,1,88
54,1,99
55,0,55
56,1,121
57,2,363
58,2,484
59,3,1111
60,1,66
61,1,77
62,1,88
63,1,99
64,2,121
65,1,121
66,0,66
67,2,484
68,3,1111
69,4,4884
70,1,77
71,1,88
72,1,99
73,2,121
74,1,121
75,2,363
76,2,484
77,0,77
78,4,4884
79,6,44044
80,1,88
81,1,99
82,2,121
83,1,121
84,2,363
85,2,484
86,3,1111
87,4,4884
88,0,88
89,24,8813200023188
90,1,99
91,2,121
92,1,121
93,2,363
94,2,484
95,3,1111
96,4,4884
97,6,44044
98,24,8813200023188
99,0,99
